# == pyFAI calibration ==
# Distance Sample to Detector: 0.89794922811261 m
# PONI: -1.720e+00, 1.057e-01 m
# Rotations: -0.449497 1.514190 -0.000006 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17622.025 mm
# Center: x=3132.929, y=92289.532 pix
# Tilt: 87.079 deg  TiltPlanRot: 88.590 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0025.xy
#       2th_deg             I 
  2.448751e+01    5.958644e+01
  2.448836e+01    5.944474e+01
  2.448920e+01    5.951478e+01
  2.449004e+01    5.930587e+01
  2.449088e+01    5.904582e+01
  2.449172e+01    5.940714e+01
  2.449257e+01    5.952172e+01
  2.449341e+01    5.958938e+01
  2.449425e+01    5.945995e+01
  2.449509e+01    5.905911e+01
  2.449593e+01    5.850826e+01
  2.449678e+01    5.836731e+01
  2.449762e+01    5.792907e+01
  2.449846e+01    5.789547e+01
  2.449930e+01    5.847356e+01
  2.450014e+01    5.915362e+01
  2.450099e+01    6.026455e+01
  2.450183e+01    6.011975e+01
  2.450267e+01    5.973245e+01
  2.450351e+01    5.932679e+01
  2.450435e+01    5.897760e+01
  2.450520e+01    5.923553e+01
  2.450604e+01    5.935220e+01
  2.450688e+01    5.953300e+01
  2.450772e+01    5.986433e+01
  2.450856e+01    5.983458e+01
  2.450941e+01    5.997026e+01
  2.451025e+01    5.981450e+01
  2.451109e+01    5.911620e+01
  2.451193e+01    5.938356e+01
  2.451277e+01    5.930267e+01
  2.451362e+01    6.044792e+01
  2.451446e+01    6.061182e+01
  2.451530e+01    6.038414e+01
  2.451614e+01    5.969021e+01
  2.451698e+01    5.933284e+01
  2.451783e+01    5.952334e+01
  2.451867e+01    6.012654e+01
  2.451951e+01    6.033887e+01
  2.452035e+01    6.081625e+01
  2.452120e+01    6.131090e+01
  2.452204e+01    6.078214e+01
  2.452288e+01    6.010065e+01
  2.452372e+01    5.942600e+01
  2.452456e+01    6.005027e+01
  2.452541e+01    6.061243e+01
  2.452625e+01    6.110022e+01
  2.452709e+01    6.072533e+01
  2.452793e+01    5.984609e+01
  2.452877e+01    5.929648e+01
  2.452962e+01    5.968265e+01
  2.453046e+01    6.016109e+01
  2.453130e+01    6.064682e+01
  2.453214e+01    6.079448e+01
  2.453298e+01    6.088628e+01
  2.453383e+01    6.092583e+01
  2.453467e+01    6.093671e+01
  2.453551e+01    6.088501e+01
  2.453635e+01    6.070620e+01
  2.453719e+01    6.013839e+01
  2.453804e+01    5.996877e+01
  2.453888e+01    6.012576e+01
  2.453972e+01    6.083262e+01
  2.454056e+01    6.170799e+01
  2.454140e+01    6.212471e+01
  2.454225e+01    6.239521e+01
  2.454309e+01    6.202978e+01
  2.454393e+01    6.186908e+01
  2.454477e+01    6.252678e+01
  2.454561e+01    6.309060e+01
  2.454646e+01    6.327655e+01
  2.454730e+01    6.332622e+01
  2.454814e+01    6.341570e+01
  2.454898e+01    6.411316e+01
  2.454982e+01    6.438437e+01
  2.455067e+01    6.456416e+01
  2.455151e+01    6.467683e+01
  2.455235e+01    6.496587e+01
  2.455319e+01    6.499583e+01
  2.455403e+01    6.537305e+01
  2.455488e+01    6.611730e+01
  2.455572e+01    6.609304e+01
  2.455656e+01    6.650694e+01
  2.455740e+01    6.598209e+01
  2.455824e+01    6.621407e+01
  2.455909e+01    6.649661e+01
  2.455993e+01    6.735384e+01
  2.456077e+01    6.772240e+01
  2.456161e+01    6.872540e+01
  2.456245e+01    6.903942e+01
  2.456330e+01    7.019224e+01
  2.456414e+01    7.023603e+01
  2.456498e+01    7.036047e+01
  2.456582e+01    7.053450e+01
  2.456666e+01    7.095268e+01
  2.456751e+01    7.149525e+01
  2.456835e+01    7.184296e+01
  2.456919e+01    7.278375e+01
  2.457003e+01    7.360363e+01
  2.457087e+01    7.412052e+01
  2.457172e+01    7.532891e+01
  2.457256e+01    7.567090e+01
  2.457340e+01    7.727898e+01
  2.457424e+01    7.859385e+01
  2.457508e+01    8.087511e+01
  2.457593e+01    8.256033e+01
  2.457677e+01    8.397013e+01
  2.457761e+01    8.504693e+01
  2.457845e+01    8.733664e+01
  2.457929e+01    8.976846e+01
  2.458014e+01    9.385252e+01
  2.458098e+01    9.803880e+01
  2.458182e+01    1.025180e+02
  2.458266e+01    1.072856e+02
  2.458350e+01    1.123078e+02
  2.458435e+01    1.183736e+02
  2.458519e+01    1.254717e+02
  2.458603e+01    1.345741e+02
  2.458687e+01    1.467243e+02
  2.458772e+01    1.616764e+02
  2.458856e+01    1.817187e+02
  2.458940e+01    2.113624e+02
  2.459024e+01    2.544128e+02
  2.459108e+01    3.167957e+02
  2.459193e+01    4.050232e+02
  2.459277e+01    5.997945e+02
  2.459361e+01    1.005288e+03
  2.459445e+01    1.295923e+03
  2.459529e+01    1.772720e+03
  2.459614e+01    2.340066e+03
  2.459698e+01    3.045287e+03
  2.459782e+01    3.456177e+03
  2.459866e+01    4.222940e+03
  2.459950e+01    4.680409e+03
  2.460035e+01    4.963589e+03
  2.460119e+01    4.962443e+03
  2.460203e+01    5.476673e+03
  2.460287e+01    5.716197e+03
  2.460371e+01    5.814452e+03
  2.460456e+01    5.336414e+03
  2.460540e+01    4.510790e+03
  2.460624e+01    3.385150e+03
  2.460708e+01    2.300130e+03
  2.460792e+01    1.876560e+03
  2.460877e+01    1.258384e+03
  2.460961e+01    9.262133e+02
  2.461045e+01    6.964503e+02
  2.461129e+01    4.796262e+02
  2.461213e+01    3.762724e+02
  2.461298e+01    3.140411e+02
  2.461382e+01    2.635517e+02
  2.461466e+01    2.247060e+02
  2.461550e+01    1.900083e+02
  2.461634e+01    1.704008e+02
  2.461719e+01    1.551610e+02
  2.461803e+01    1.425917e+02
  2.461887e+01    1.335908e+02
  2.461971e+01    1.260222e+02
  2.462055e+01    1.191799e+02
  2.462140e+01    1.128646e+02
  2.462224e+01    1.078875e+02
  2.462308e+01    1.036704e+02
  2.462392e+01    1.004065e+02
  2.462476e+01    9.744537e+01
  2.462561e+01    9.451454e+01
  2.462645e+01    9.186511e+01
  2.462729e+01    8.942016e+01
  2.462813e+01    8.765601e+01
  2.462897e+01    8.592916e+01
  2.462982e+01    8.403118e+01
  2.463066e+01    8.213638e+01
  2.463150e+01    8.073932e+01
  2.463234e+01    7.945223e+01
  2.463318e+01    7.836169e+01
  2.463403e+01    7.730870e+01
  2.463487e+01    7.666154e+01
  2.463571e+01    7.701885e+01
  2.463655e+01    7.670602e+01
  2.463739e+01    7.590571e+01
  2.463824e+01    7.419337e+01
  2.463908e+01    7.364841e+01
  2.463992e+01    7.379789e+01
  2.464076e+01    7.271183e+01
  2.464160e+01    7.221397e+01
  2.464245e+01    7.180569e+01
  2.464329e+01    7.140774e+01
  2.464413e+01    7.034128e+01
  2.464497e+01    6.970533e+01
  2.464581e+01    6.874932e+01
  2.464666e+01    6.871122e+01
  2.464750e+01    6.864059e+01
  2.464834e+01    6.802130e+01
  2.464918e+01    6.769920e+01
  2.465002e+01    6.690408e+01
  2.465087e+01    6.713055e+01
  2.465171e+01    6.641177e+01
  2.465255e+01    6.660742e+01
  2.465339e+01    6.648945e+01
  2.465423e+01    6.653397e+01
  2.465508e+01    6.657503e+01
  2.465592e+01    6.660841e+01
  2.465676e+01    6.592243e+01
  2.465760e+01    6.586233e+01
  2.465845e+01    6.513459e+01
  2.465929e+01    6.558189e+01
  2.466013e+01    6.521323e+01
  2.466097e+01    6.540188e+01
  2.466181e+01    6.537421e+01
  2.466266e+01    6.482163e+01
  2.466350e+01    6.483345e+01
  2.466434e+01    6.472610e+01
  2.466518e+01    6.449436e+01
  2.466602e+01    6.463094e+01
  2.466687e+01    6.364103e+01
  2.466771e+01    6.352805e+01
  2.466855e+01    6.361653e+01
  2.466939e+01    6.399775e+01
  2.467023e+01    6.386272e+01
  2.467108e+01    6.325512e+01
  2.467192e+01    6.311490e+01
  2.467276e+01    6.312133e+01
  2.467360e+01    6.276387e+01
  2.467444e+01    6.284357e+01
  2.467529e+01    6.306178e+01
  2.467613e+01    6.344322e+01
  2.467697e+01    6.431882e+01
  2.467781e+01    6.369816e+01
  2.467865e+01    6.277219e+01
  2.467950e+01    6.190389e+01
  2.468034e+01    6.156144e+01
  2.468118e+01    6.176748e+01
  2.468202e+01    6.293673e+01
  2.468286e+01    6.339787e+01
  2.468371e+01    6.374612e+01
  2.468455e+01    6.285048e+01
  2.468539e+01    6.239988e+01
  2.468623e+01    6.156499e+01
  2.468707e+01    6.152026e+01
  2.468792e+01    6.200206e+01
  2.468876e+01    6.264515e+01
  2.468960e+01    6.259323e+01
  2.469044e+01    6.287420e+01
  2.469128e+01    6.330314e+01
  2.469213e+01    6.356351e+01
  2.469297e+01    6.365489e+01
  2.469381e+01    6.375345e+01
  2.469465e+01    6.275798e+01
  2.469549e+01    6.291980e+01
  2.469634e+01    6.281563e+01
  2.469718e+01    6.301948e+01
  2.469802e+01    6.294707e+01
  2.469886e+01    6.186303e+01
  2.469970e+01    6.121289e+01
  2.470055e+01    6.123755e+01
  2.470139e+01    6.132473e+01
  2.470223e+01    6.150728e+01
  2.470307e+01    6.154774e+01
  2.470391e+01    6.158168e+01
  2.470476e+01    6.150797e+01
  2.470560e+01    6.191850e+01
  2.470644e+01    6.239852e+01
  2.470728e+01    6.294227e+01
  2.470812e+01    6.336673e+01
  2.470897e+01    6.348941e+01
  2.470981e+01    6.300814e+01
  2.471065e+01    6.286002e+01
  2.471149e+01    6.265952e+01
  2.471233e+01    6.282954e+01
  2.471318e+01    6.291166e+01
  2.471402e+01    6.310000e+01
  2.471486e+01    6.355564e+01
  2.471570e+01    6.333666e+01
  2.471654e+01    6.286103e+01
  2.471739e+01    6.261374e+01
  2.471823e+01    6.256741e+01
  2.471907e+01    6.373961e+01
  2.471991e+01    6.447041e+01
  2.472075e+01    6.484399e+01
  2.472160e+01    6.477573e+01
  2.472244e+01    6.449570e+01
  2.472328e+01    6.317327e+01
  2.472412e+01    6.233673e+01
  2.472496e+01    6.107504e+01
  2.472581e+01    6.128532e+01
  2.472665e+01    6.138989e+01
  2.472749e+01    6.169880e+01
  2.472833e+01    6.304581e+01
  2.472918e+01    6.364366e+01
  2.473002e+01    6.427953e+01
  2.473086e+01    6.392742e+01
  2.473170e+01    6.394783e+01
  2.473254e+01    6.434258e+01
  2.473339e+01    6.585006e+01
  2.473423e+01    6.558200e+01
  2.473507e+01    6.479025e+01
  2.473591e+01    6.375650e+01
  2.473675e+01    6.396852e+01
  2.473760e+01    6.444798e+01
  2.473844e+01    6.566917e+01
  2.473928e+01    6.578426e+01
  2.474012e+01    6.484960e+01
  2.474096e+01    6.511298e+01
  2.474181e+01    6.434997e+01
  2.474265e+01    6.512083e+01
  2.474349e+01    6.507104e+01
  2.474433e+01    6.444622e+01
  2.474517e+01    6.357016e+01
  2.474602e+01    6.310469e+01
  2.474686e+01    6.311988e+01
  2.474770e+01    6.413111e+01
  2.474854e+01    6.343308e+01
  2.474938e+01    6.289221e+01
  2.475023e+01    6.245465e+01
  2.475107e+01    6.305871e+01
  2.475191e+01    6.453896e+01
  2.475275e+01    6.569595e+01
  2.475359e+01    6.533223e+01
  2.475444e+01    6.498186e+01
  2.475528e+01    6.448613e+01
  2.475612e+01    6.421063e+01
  2.475696e+01    6.455329e+01
  2.475780e+01    6.346410e+01
  2.475865e+01    6.344465e+01
  2.475949e+01    6.312537e+01
  2.476033e+01    6.150050e+01
  2.476117e+01    6.149340e+01
  2.476201e+01    6.106462e+01
  2.476286e+01    6.142076e+01
  2.476370e+01    6.224910e+01
  2.476454e+01    6.217134e+01
  2.476538e+01    6.279372e+01
  2.476622e+01    6.321300e+01
  2.476707e+01    6.254408e+01
  2.476791e+01    6.251926e+01
  2.476875e+01    6.221488e+01
  2.476959e+01    6.128233e+01
  2.477043e+01    6.088061e+01
  2.477128e+01    6.055684e+01
  2.477212e+01    6.121876e+01
  2.477296e+01    6.122032e+01
  2.477380e+01    6.145158e+01
  2.477464e+01    5.986863e+01
  2.477549e+01    5.924165e+01
  2.477633e+01    5.967061e+01
  2.477717e+01    5.969793e+01
  2.477801e+01    6.003127e+01
  2.477885e+01    5.984988e+01
  2.477970e+01    5.868770e+01
  2.478054e+01    5.794611e+01
  2.478138e+01    5.818924e+01
  2.478222e+01    5.825029e+01
  2.478306e+01    5.900929e+01
  2.478391e+01    5.908186e+01
  2.478475e+01    5.996714e+01
  2.478559e+01    5.907394e+01
  2.478643e+01    5.942439e+01
  2.478727e+01    6.019794e+01
  2.478812e+01    6.063059e+01
  2.478896e+01    6.138601e+01
  2.478980e+01    6.101547e+01
  2.479064e+01    5.905786e+01
  2.479148e+01    5.738290e+01
  2.479233e+01    5.720171e+01
  2.479317e+01    5.694794e+01
  2.479401e+01    5.786240e+01
  2.479485e+01    5.809138e+01
  2.479569e+01    5.769117e+01
  2.479654e+01    5.789458e+01
  2.479738e+01    5.743380e+01
  2.479822e+01    5.787549e+01
  2.479906e+01    5.753916e+01
  2.479991e+01    5.797984e+01
  2.480075e+01    5.799494e+01
  2.480159e+01    5.800848e+01
  2.480243e+01    5.825584e+01
  2.480327e+01    5.736895e+01
  2.480412e+01    5.737549e+01
  2.480496e+01    5.706314e+01
  2.480580e+01    5.699597e+01
  2.480664e+01    5.760202e+01
  2.480748e+01    5.740242e+01
  2.480833e+01    5.708311e+01
  2.480917e+01    5.669678e+01
  2.481001e+01    5.420374e+01
  2.481085e+01    5.400682e+01
  2.481169e+01    5.355840e+01
  2.481254e+01    5.420818e+01
  2.481338e+01    5.461399e+01
  2.481422e+01    5.428346e+01
  2.481506e+01    5.454827e+01
  2.481590e+01    5.528446e+01
  2.481675e+01    5.562290e+01
  2.481759e+01    5.543789e+01
  2.481843e+01    5.568516e+01
  2.481927e+01    5.507911e+01
  2.482011e+01    5.524433e+01
  2.482096e+01    5.398127e+01
  2.482180e+01    5.415522e+01
  2.482264e+01    5.466545e+01
  2.482348e+01    5.483783e+01
  2.482432e+01    5.528909e+01
