# == pyFAI calibration ==
# Distance Sample to Detector: 0.9185303427416458 m
# PONI: 1.916e+00, 3.346e-01 m
# Rotations: 0.091722 -0.638530 -0.000021 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1148.741 mm
# Center: x=1453.987, y=7156.945 pix
# Tilt: 36.908 deg  TiltPlanRot: -97.035 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0029.xy
#       2th_deg             I 
  2.740112e+01    6.626672e+01
  2.740179e+01    6.703159e+01
  2.740246e+01    6.692210e+01
  2.740313e+01    6.729688e+01
  2.740380e+01    6.709996e+01
  2.740447e+01    6.719035e+01
  2.740515e+01    6.715286e+01
  2.740582e+01    6.681619e+01
  2.740649e+01    6.688466e+01
  2.740716e+01    6.679916e+01
  2.740783e+01    6.608352e+01
  2.740850e+01    6.559365e+01
  2.740917e+01    6.579810e+01
  2.740984e+01    6.609393e+01
  2.741051e+01    6.677589e+01
  2.741118e+01    6.672944e+01
  2.741185e+01    6.586938e+01
  2.741252e+01    6.559208e+01
  2.741319e+01    6.540408e+01
  2.741386e+01    6.512387e+01
  2.741453e+01    6.510799e+01
  2.741521e+01    6.491862e+01
  2.741588e+01    6.597467e+01
  2.741655e+01    6.716016e+01
  2.741722e+01    6.763875e+01
  2.741789e+01    6.711227e+01
  2.741856e+01    6.604074e+01
  2.741923e+01    6.581858e+01
  2.741990e+01    6.589069e+01
  2.742057e+01    6.595818e+01
  2.742124e+01    6.599602e+01
  2.742191e+01    6.592616e+01
  2.742258e+01    6.553856e+01
  2.742325e+01    6.545982e+01
  2.742392e+01    6.555145e+01
  2.742459e+01    6.532498e+01
  2.742526e+01    6.543697e+01
  2.742594e+01    6.526987e+01
  2.742661e+01    6.475017e+01
  2.742728e+01    6.432181e+01
  2.742795e+01    6.356635e+01
  2.742862e+01    6.352421e+01
  2.742929e+01    6.375659e+01
  2.742996e+01    6.383941e+01
  2.743063e+01    6.424097e+01
  2.743130e+01    6.449557e+01
  2.743197e+01    6.474886e+01
  2.743264e+01    6.481123e+01
  2.743331e+01    6.457571e+01
  2.743398e+01    6.506290e+01
  2.743465e+01    6.518571e+01
  2.743532e+01    6.580009e+01
  2.743599e+01    6.624116e+01
  2.743667e+01    6.616027e+01
  2.743734e+01    6.631065e+01
  2.743801e+01    6.600890e+01
  2.743868e+01    6.544611e+01
  2.743935e+01    6.583508e+01
  2.744002e+01    6.493287e+01
  2.744069e+01    6.471918e+01
  2.744136e+01    6.440884e+01
  2.744203e+01    6.474670e+01
  2.744270e+01    6.521570e+01
  2.744337e+01    6.534218e+01
  2.744404e+01    6.494590e+01
  2.744471e+01    6.486990e+01
  2.744538e+01    6.463125e+01
  2.744605e+01    6.505913e+01
  2.744673e+01    6.542041e+01
  2.744740e+01    6.496259e+01
  2.744807e+01    6.535754e+01
  2.744874e+01    6.536937e+01
  2.744941e+01    6.527090e+01
  2.745008e+01    6.506097e+01
  2.745075e+01    6.484149e+01
  2.745142e+01    6.483546e+01
  2.745209e+01    6.530730e+01
  2.745276e+01    6.620908e+01
  2.745343e+01    6.681772e+01
  2.745410e+01    6.775031e+01
  2.745477e+01    6.734875e+01
  2.745544e+01    6.697414e+01
  2.745611e+01    6.648574e+01
  2.745678e+01    6.722358e+01
  2.745746e+01    6.741952e+01
  2.745813e+01    6.740729e+01
  2.745880e+01    6.682751e+01
  2.745947e+01    6.662484e+01
  2.746014e+01    6.663944e+01
  2.746081e+01    6.669264e+01
  2.746148e+01    6.692760e+01
  2.746215e+01    6.709581e+01
  2.746282e+01    6.721761e+01
  2.746349e+01    6.800990e+01
  2.746416e+01    6.747311e+01
  2.746483e+01    6.725776e+01
  2.746550e+01    6.691690e+01
  2.746617e+01    6.699648e+01
  2.746684e+01    6.793114e+01
  2.746752e+01    6.864267e+01
  2.746819e+01    6.866232e+01
  2.746886e+01    6.798578e+01
  2.746953e+01    6.716602e+01
  2.747020e+01    6.650224e+01
  2.747087e+01    6.651909e+01
  2.747154e+01    6.672841e+01
  2.747221e+01    6.752456e+01
  2.747288e+01    6.842460e+01
  2.747355e+01    6.915654e+01
  2.747422e+01    6.927455e+01
  2.747489e+01    6.898754e+01
  2.747556e+01    6.923533e+01
  2.747623e+01    7.019077e+01
  2.747690e+01    7.104910e+01
  2.747757e+01    7.166518e+01
  2.747825e+01    7.155910e+01
  2.747892e+01    7.224664e+01
  2.747959e+01    7.313817e+01
  2.748026e+01    7.309126e+01
  2.748093e+01    7.329851e+01
  2.748160e+01    7.259883e+01
  2.748227e+01    7.186185e+01
  2.748294e+01    7.140209e+01
  2.748361e+01    7.230202e+01
  2.748428e+01    7.321424e+01
  2.748495e+01    7.369730e+01
  2.748562e+01    7.375197e+01
  2.748629e+01    7.402845e+01
  2.748696e+01    7.422034e+01
  2.748763e+01    7.476274e+01
  2.748830e+01    7.428181e+01
  2.748898e+01    7.447697e+01
  2.748965e+01    7.505253e+01
  2.749032e+01    7.519209e+01
  2.749099e+01    7.497548e+01
  2.749166e+01    7.408465e+01
  2.749233e+01    7.401482e+01
  2.749300e+01    7.459977e+01
  2.749367e+01    7.429707e+01
  2.749434e+01    7.480304e+01
  2.749501e+01    7.537200e+01
  2.749568e+01    7.581642e+01
  2.749635e+01    7.592872e+01
  2.749702e+01    7.586292e+01
  2.749769e+01    7.528535e+01
  2.749836e+01    7.484290e+01
  2.749904e+01    7.565089e+01
  2.749971e+01    7.642888e+01
  2.750038e+01    7.710553e+01
  2.750105e+01    7.706251e+01
  2.750172e+01    7.690743e+01
  2.750239e+01    7.717686e+01
  2.750306e+01    7.726740e+01
  2.750373e+01    7.743265e+01
  2.750440e+01    7.777388e+01
  2.750507e+01    7.879455e+01
  2.750574e+01    7.942716e+01
  2.750641e+01    8.056671e+01
  2.750708e+01    8.122862e+01
  2.750775e+01    8.189828e+01
  2.750842e+01    8.286039e+01
  2.750909e+01    8.297766e+01
  2.750977e+01    8.328896e+01
  2.751044e+01    8.309364e+01
  2.751111e+01    8.350261e+01
  2.751178e+01    8.461318e+01
  2.751245e+01    8.557660e+01
  2.751312e+01    8.577835e+01
  2.751379e+01    8.616943e+01
  2.751446e+01    8.600913e+01
  2.751513e+01    8.812149e+01
  2.751580e+01    8.912659e+01
  2.751647e+01    9.051482e+01
  2.751714e+01    9.106077e+01
  2.751781e+01    9.124511e+01
  2.751848e+01    9.207319e+01
  2.751915e+01    9.258870e+01
  2.751982e+01    9.400758e+01
  2.752050e+01    9.597202e+01
  2.752117e+01    9.740031e+01
  2.752184e+01    9.908447e+01
  2.752251e+01    1.005403e+02
  2.752318e+01    1.017929e+02
  2.752385e+01    1.021671e+02
  2.752452e+01    1.019952e+02
  2.752519e+01    1.024795e+02
  2.752586e+01    1.036585e+02
  2.752653e+01    1.059157e+02
  2.752720e+01    1.084545e+02
  2.752787e+01    1.117164e+02
  2.752854e+01    1.129101e+02
  2.752921e+01    1.140616e+02
  2.752988e+01    1.152077e+02
  2.753056e+01    1.176393e+02
  2.753123e+01    1.206911e+02
  2.753190e+01    1.237075e+02
  2.753257e+01    1.265402e+02
  2.753324e+01    1.307760e+02
  2.753391e+01    1.356319e+02
  2.753458e+01    1.393941e+02
  2.753525e+01    1.430183e+02
  2.753592e+01    1.469008e+02
  2.753659e+01    1.510379e+02
  2.753726e+01    1.562708e+02
  2.753793e+01    1.613025e+02
