    #,        th,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
   28,     12.02,     24.04,   1.0000,  0.15074,        0,        0,        0,  0.00036,        0,        0,        0,        0,        0,  4116942,        1,       45,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   29,     12.36,     24.72,   1.0000,  0.15141,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  2771888,        3,       62,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   30,      12.7,      25.4,   1.0000,  0.15118,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  2703150,        4,       48,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,       12,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   31,     13.04,     26.08,   1.0000,  0.15105,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  2478873,        4,       39,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   32,     13.38,     26.76,   1.0000,  0.15134,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  6540221,        1,       38,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   33,     13.72,     27.44,   1.0000,  0.15161,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  5035801,        8,      116,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   34,     14.06,     28.12,   1.0000,  0.15125,        0,        0,        0,  0.00032,        0,        0,        0,        0,        0,  4219088,        5,       48,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   35,      14.4,      28.8,   1.0000,  0.15155,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  1791637,        4,       37,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        4,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   36,     14.74,     29.48,   1.0000,  0.15149,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  2800991,        5,       40,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   37,     15.08,     30.16,   1.0000,  0.15152,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  3047706,        3,       95,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        3,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
